"quad","year","trackID","age","distEdgeMin","allEdge","QuadName","Grazing","Group","area.t0","logarea.t0","logarea.t1","species","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment","Period","Treatment2","Treatment3"
"Q1",1933,1,1,40.6481800457969,0,"E1 Q1","UG","E1",2.02436444686415,0.705255797895797,-0.460360346336002,"HECO",0.456691158460183,0.712360445750891,0.000147176781839017,5.67574125454336e-05,0.348241867298176,0,"Control","Historical","Control","Control"
"Q1",1933,2,1,39.5469964829189,0,"E1 Q1","UG","E1",2.34349907390919,0.851645143206315,0.51160318397483,"HECO",0.291953936260763,0.630690743060237,0.000969301931601204,0.000115116639879675,0.572211966912318,0,"Control","Historical","Control","Control"
"Q1",1933,3,1,18.9999238141884,0,"E1 Q1","UG","E1",16.9727161409373,2.83160712188573,1.9760302493681,"HECO",16.7902120987876,2.42393472184688e-09,0.0724885217282368,0.433792816647691,0.8647915119936,0.00146,"Control","Historical","Control","Control"
"Q1",1934,1,2,42.16121755,0,"E1 Q1","UG","E1",0.631056205739294,-0.460360346336002,-1.01250502048856,"HECO",0.242140984565781,0.519653905148379,6.31698059145309e-05,4.9628685294589e-05,0.132384161285948,0,"Control","Historical","Control","Control"
"Q1",1934,2,2,40.15807695,0,"E1 Q1","UG","E1",1.66796310431191,0.51160318397483,1.40367536261856,"HECO",0.152254556482911,0.196605560898083,0.000231622621686613,0.00017,0.196320715629565,0,"Control","Historical","Control","Control"
"Q1",1934,3,2,17.3065292666596,0,"E1 Q1","UG","E1",7.21404809508134,1.9760302493681,2.02596543314598,"HECO",0.516903653688931,0,0.0542305708895556,0.184121244838723,0.85287957010442,0.00961,"Control","Historical","Control","Control"
"Q1",1934,5,1,10.3587612914391,0,"E1 Q1","UG","E1",0.249999999999993,-1.38629436111992,-1.38629436111995,"HECO",0.0997145612687308,6.99440505513849e-15,0,2.17879855633293,0.545782987492899,1.13635,"Control","Historical","Control","Control"
"Q1",1935,10,1,7.7177800389795,0,"E1 Q1","UG","E1",0.25,-1.38629436111989,-1.38629436111989,"HECO",3.11630099537927,0.00670379101444539,0.0369915866278874,0.00592599585019798,36.3109611222817,0.06197,"Control","Historical","Control","Control"
"Q1",1935,2,3,39.3515800603754,0,"E1 Q1","UG","E1",4.07013172020914,1.40367536261856,0.213164882787502,"HECO",0.476306420123398,0.113211390920668,0.000159382833958562,0.0001852547878017,0.307256547057174,0,"Control","Historical","Control","Control"
"Q1",1935,3,3,16.3524534902858,0,"E1 Q1","UG","E1",7.58342870509629,2.02596543314598,2.70354255645865,"HECO",2.33820176286729,0.000165000358470219,0.114046140067093,0.0361564036140865,1.32542234058403,0.02488,"Control","Historical","Control","Control"
"Q1",1936,10,2,5.416315974336,0,"E1 Q1","UG","E1",0.25,-1.38629436111989,-1.38629436111989,"HECO",1.16561027520472,0.0917808840363367,0.0577078278140638,0.00317522240329314,21.9715931792798,0.06197,"Control","Historical","Control","Control"
"Q1",1936,13,1,9.9996191023968,0,"E1 Q1","UG","E1",0.61960947552563,-0.478665877584071,0.193432323290635,"HECO",28.2646131823698,0.236692821037206,0.182114259356533,0.00369814232021609,0.388795330581387,0.00564,"Control","Historical","Control","Control"
"Q1",1936,19,1,8.40302691461761,0,"E1 Q1","UG","E1",0.24999999999999,-1.38629436111993,-1.38629436111993,"HECO",4.07721143474863,0.58922807275162,0.00220713915765918,0.00753709256266485,0.477748908025926,0.01585,"Control","Historical","Control","Control"
