"species","quad","year","trackID","age","logarea","survives","distEdgeMin","allEdge","QuadName","Grazing","Group","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment","Period","Treatment2","Treatment3"
"POSE","Q1",1932,19,1,1.02276309976784,0,6.72889018682912,0,"E1 Q1","UG","E1",6.77957694852515,0,1.88462668039353,0.00255071122361765,26.4685652757257,0,"Control","Historical","Control","Control"
"POSE","Q1",1932,31,1,1.51208190747548,1,21.0809784956043,0,"E1 Q1","UG","E1",0,0,0.000148938157337029,0.624212790006826,4.95011409364189,0,"Control","Historical","Control","Control"
"POSE","Q1",1932,88,1,2.63279639297833,1,3.46105815235084,0,"E1 Q1","UG","E1",2.4517495847687,0,0.193092838434257,0.00022047168555282,25.4000293582957,0.28718,"Control","Historical","Control","Control"
"POSE","Q1",1932,87,1,-0.651242420869235,0,4.9355761485421,0,"E1 Q1","UG","E1",0.191951804613039,0,1.62154822345794,0.0311379904601876,0.0890110003781504,0.04851,"Control","Historical","Control","Control"
"POSE","Q1",1932,17,1,0.836885916946022,0,9.89501517236801,0,"E1 Q1","UG","E1",17.5441726161491,0,3.79607403499837,0.00362409321780498,10.8059139085272,0,"Control","Historical","Control","Control"
"POSE","Q1",1932,59,1,-0.434209073111917,0,7.20126829411238,0,"E1 Q1","UG","E1",0.385327324679457,0,0,0.52224126966944,3.40875013511504,0.0358,"Control","Historical","Control","Control"
"POSE","Q1",1932,29,1,1.98989226644692,1,40.8546769627311,0,"E1 Q1","UG","E1",0,0,1.14302815830578e-05,0.00149357397666701,6.49193869243104,0,"Control","Historical","Control","Control"
"POSE","Q1",1932,10,1,0.872909143027332,1,19.7947933214241,0,"E1 Q1","UG","E1",0.353245317566393,0,0.00317762464208372,0.0471945052832445,1.16619996628176,1.00479,"Control","Historical","Control","Control"
"POSE","Q1",1932,24,1,2.96372593490925,1,7.13624721930015,0,"E1 Q1","UG","E1",0.0904038980938729,0,0.0117025260924122,0,0.289398795314412,0,"Control","Historical","Control","Control"
"POSE","Q1",1932,11,1,3.29045073230973,1,18.1619105230882,0,"E1 Q1","UG","E1",0.910653713064335,0,0.505030686510357,0.00391976101041039,0.549882872915891,0.00011,"Control","Historical","Control","Control"
"POSE","Q1",1932,18,1,-0.412199248576937,0,9.82682694019527,0,"E1 Q1","UG","E1",4.40155758437704,0,6.84058530673863,0.00209698850151455,9.53839869198936,0,"Control","Historical","Control","Control"
"POSE","Q1",1932,12,1,2.97922033038162,1,11.4078097133449,0,"E1 Q1","UG","E1",1.37993145365647,0,1.46356706300975,0.000859773473637982,1.90735351113528,0,"Control","Historical","Control","Control"
"POSE","Q1",1933,93,1,-0.754071784902794,0,13.6492737912065,0,"E1 Q1","UG","E1",2.52131303128272,0,1.60297005946531,3.9240683025259e-06,0.266376312443916,3e-05,"Control","Historical","Control","Control"
"POSE","Q1",1933,10,2,1.34234237579207,1,19.4277238123934,0,"E1 Q1","UG","E1",0.417321244188033,0.00133019386094637,5.52814412427553e-05,0.0771007630678034,2.53436465292574,1.00143,"Control","Historical","Control","Control"
"POSE","Q1",1933,12,2,0.916469074633732,1,12.3667628479113,0,"E1 Q1","UG","E1",6.79740522570554,1.54326887746662,0.00670215996684683,1.48869686573588,14.5024261853342,0.13594,"Control","Historical","Control","Control"
"POSE","Q1",1933,92,1,-0.563659241633278,0,10.925468341847,0,"E1 Q1","UG","E1",14.2656211988764,0,1.46597669751417,9.085386033179e-09,0.624857751843781,0,"Control","Historical","Control","Control"
"POSE","Q1",1933,94,1,1.15808973637709,1,12.7166956477044,0,"E1 Q1","UG","E1",7.00823744488426,0,0.392666297738164,0,0.274673733172677,0,"Control","Historical","Control","Control"
"POSE","Q1",1933,24,2,2.62291462880723,1,7.9087565893949,0,"E1 Q1","UG","E1",0.441491503025247,0.000324602311800191,0.00107906517779922,0.0528637779460343,0.175183750103573,0.0049,"Control","Historical","Control","Control"
"POSE","Q1",1933,31,2,0.362889288330709,1,20.4408339321408,0,"E1 Q1","UG","E1",0,0,0.00026994316523351,4.39660774299113,2.59770445115462,0.00017,"Control","Historical","Control","Control"
"POSE","Q1",1933,29,2,1.83737557823408,1,40.075117558512,0,"E1 Q1","UG","E1",0,0.0003399459902147,1.24715758483962e-08,0.00540054765110024,6.71775048499576,0,"Control","Historical","Control","Control"
"POSE","Q1",1934,31,3,-0.121094804012949,1,21.49801365,0,"E1 Q1","UG","E1",0,0.0007625,0.000263440767335153,0.695799579302044,1.27379332711015,0.00044,"Control","Historical","Control","Control"
"POSE","Q1",1934,94,2,0.805424852106303,1,8.6684269148649,0,"E1 Q1","UG","E1",11.9178204887093,0,1.49289824946664e-14,0.000134263109091138,0.191763055374153,0,"Control","Historical","Control","Control"
"POSE","Q1",1934,10,3,1.21120471864163,1,20.097573,0,"E1 Q1","UG","E1",0.191291291674076,0.0109437940013256,8.46330410095346e-05,0.0532801584930288,2.26455535383642,1.00479,"Control","Historical","Control","Control"
"POSE","Q1",1934,29,3,0.744629050812689,1,41.98536755,0,"E1 Q1","UG","E1",0,0.000281249373662942,4.88498130835069e-15,0.0010661689359753,0.89250506241118,0.00011,"Control","Historical","Control","Control"
